event_date,published_at,commodity_group,country_or_region,country_iso,event_type,event_title,event_summary,expected_impact_direction,expected_impact_area,impact_score,time_horizon,confidence_score,source_name,source_url,source_reliability_score,fetched_at,event_cluster_id,duplicate_of,data_quality_flag,entities,raw_payload,notes
2026-06-01,,coffee,Vietnam,VNM,weather,Rain in Central Highlands slows coffee drying,Heavy rain in parts of Dak Lak and Gia Lai may delay drying and near-term flow of robusta.,bullish,supply,2,short_term,0.82,Vietnam MARD,https://www.mard.gov.vn/en/Pages/default.aspx,0.92,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""Vietnam""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-06-01"",""commodity_group"":""coffee"",""country_or_region"":""Vietnam"",""country_iso"":""VNM"",""event_type"":""weather"",""event_title"":""Rain in Central Highlands slows coffee drying"",""event_summary"":""Heavy rain in parts of Dak Lak and Gia Lai may delay drying and near-term flow of robusta."",""expected_impact_direction"":""bullish"",""expected_impact_area"":""supply"",""impact_score"":""2"",""time_horizon"":""short_term"",""confidence_score"":""0.82"",""source_name"":""Vietnam MARD"",""source_url"":""https://www.mard.gov.vn/en/Pages/default.aspx"",""source_reliability_score"":""0.92"",""notes"":""Cross-check against domestic arrivals.""}}",Cross-check against domestic arrivals.
2026-05-31,,coffee,Brazil,BRA,crop_outlook,Brazil arabica belt dryness risk noted,Dryness in key coffee zones could reduce yield assumptions for the next crop cycle.,bullish,supply,2,medium_term,0.8,USDA FAS,https://www.fas.usda.gov/data,0.93,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""Brazil""],""regions"":[],""commodities"":[""coffee""],""organizations"":[""USDA""],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-31"",""commodity_group"":""coffee"",""country_or_region"":""Brazil"",""country_iso"":""BRA"",""event_type"":""crop_outlook"",""event_title"":""Brazil arabica belt dryness risk noted"",""event_summary"":""Dryness in key coffee zones could reduce yield assumptions for the next crop cycle."",""expected_impact_direction"":""bullish"",""expected_impact_area"":""supply"",""impact_score"":""2"",""time_horizon"":""medium_term"",""confidence_score"":""0.80"",""source_name"":""USDA FAS"",""source_url"":""https://www.fas.usda.gov/data"",""source_reliability_score"":""0.93"",""notes"":""Watch follow-up rainfall updates.""}}",Watch follow-up rainfall updates.
2026-05-31,2026-05-31T06:30:00.000Z,coffee,Brazil,BRA,weather,Brazil dryness raises concern for coffee trees,Dry weather in some producing areas may stress trees before the next flowering period.,bullish,supply,2,short_term,0.75,Reuters,https://www.reuters.com/world/americas/brazil-coffee-weather-2026-05-31/,0.85,2026-06-02T14:14:22.415Z,,,needs_human_review,"{""countries"":[""Brazil""],""regions"":[],""commodities"":[""coffee""],""organizations"":[""Reuters""],""markets"":[]}","{""source"":""raw_csv"",""record"":{""published_at"":""2026-05-31T06:30:00Z"",""source_name"":""Reuters"",""source_url"":""https://www.reuters.com/world/americas/brazil-coffee-weather-2026-05-31/"",""title_raw"":""Brazil dryness raises concern for coffee trees"",""summary_raw"":""Dry weather in some producing areas may stress trees before the next flowering period."",""body_excerpt"":""Reuters market wrap excerpt."",""language"":""en"",""detected_commodity"":""coffee"",""detected_countries"":""[\""Brazil\""]"",""detected_event_type"":""weather"",""event_date"":""2026-05-31"",""country_or_region"":""Brazil"",""country_iso"":""BRA"",""expected_impact_direction"":""bullish"",""expected_impact_area"":""supply"",""impact_score"":""2"",""time_horizon"":""short_term"",""confidence_score"":"""",""source_reliability_score"":""0.85"",""entities"":""{\""countries\"":[\""Brazil\""],\""commodities\"":[\""coffee\""],\""organizations\"":[\""Reuters\""]}"",""notes"":""raw intake row""},""detectedCountries"":[""Brazil""]}",raw intake row
2026-05-30,2026-05-30T12:00:00.000Z,coffee,Brazil,BRA,weather,Coffee traders monitor Brazil weather stress,Traders highlighted rainfall deficits in selected coffee regions in Brazil.,bullish,supply,2,short_term,0.73,AP News,https://apnews.com/article/coffee-brazil-dryness-may30,0.83,2026-06-02T14:14:22.415Z,,,needs_human_review,"{""countries"":[""Brazil""],""regions"":[],""commodities"":[""coffee""],""organizations"":[""AP News""],""markets"":[]}","{""source"":""raw_csv"",""record"":{""published_at"":""2026-05-30T12:00:00Z"",""source_name"":""AP News"",""source_url"":""https://apnews.com/article/coffee-brazil-dryness-may30"",""title_raw"":""Coffee traders monitor Brazil weather stress"",""summary_raw"":""Traders highlighted rainfall deficits in selected coffee regions in Brazil."",""body_excerpt"":""AP summary excerpt."",""language"":""en"",""detected_commodity"":""coffee"",""detected_countries"":""[\""Brazil\""]"",""detected_event_type"":""weather"",""event_date"":""2026-05-30"",""country_or_region"":""Brazil"",""country_iso"":""BRA"",""expected_impact_direction"":""bullish"",""expected_impact_area"":""supply"",""impact_score"":""2"",""time_horizon"":""short_term"",""confidence_score"":"""",""source_reliability_score"":""0.83"",""entities"":""{\""countries\"":[\""Brazil\""],\""commodities\"":[\""coffee\""],\""organizations\"":[\""AP News\""]}"",""notes"":""possible duplicate of Reuters context""},""detectedCountries"":[""Brazil""]}",possible duplicate of Reuters context
2026-05-30,,coffee,EU,EUU,import_policy,EU due diligence timeline update for coffee importers,Implementation clarification may increase compliance cost and procurement lead time.,neutral,policy,0,medium_term,0.71,European Commission,https://commission.europa.eu,0.93,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""EU""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-30"",""commodity_group"":""coffee"",""country_or_region"":""EU"",""country_iso"":""EUU"",""event_type"":""import_policy"",""event_title"":""EU due diligence timeline update for coffee importers"",""event_summary"":""Implementation clarification may increase compliance cost and procurement lead time."",""expected_impact_direction"":""neutral"",""expected_impact_area"":""policy"",""impact_score"":""0"",""time_horizon"":""medium_term"",""confidence_score"":""0.71"",""source_name"":""European Commission"",""source_url"":""https://commission.europa.eu"",""source_reliability_score"":""0.93"",""notes"":""Interpret with importer feedback.""}}",Interpret with importer feedback.
2026-05-30,,coffee,Indonesia,IDN,harvest,Indonesia harvest progress improves export readiness,Faster harvest progress may support additional export availability in coming weeks.,bearish,supply,-1,short_term,0.74,Indonesia Trade Ministry,https://www.kemendag.go.id,0.84,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""Indonesia""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-30"",""commodity_group"":""coffee"",""country_or_region"":""Indonesia"",""country_iso"":""IDN"",""event_type"":""harvest"",""event_title"":""Indonesia harvest progress improves export readiness"",""event_summary"":""Faster harvest progress may support additional export availability in coming weeks."",""expected_impact_direction"":""bearish"",""expected_impact_area"":""supply"",""impact_score"":""-1"",""time_horizon"":""short_term"",""confidence_score"":""0.74"",""source_name"":""Indonesia Trade Ministry"",""source_url"":""https://www.kemendag.go.id"",""source_reliability_score"":""0.84"",""notes"":""Directional only.""}}",Directional only.
2026-05-29,2026-05-29T08:45:00.000Z,coffee,EU,EUU,regulation,EU updates explanatory note for coffee import compliance,Clarification note updates language for importer declarations.,neutral,policy,0,medium_term,0.93,EU Portal,missing-source-url://2026-06-02T14:14:22.415Z,0.93,2026-06-02T14:14:22.415Z,,,missing_source_url,"{""countries"":[""EU""],""regions"":[],""commodities"":[""coffee""],""organizations"":[""European Commission""],""markets"":[]}","{""source"":""raw_csv"",""record"":{""published_at"":""2026-05-29T08:45:00Z"",""source_name"":""EU Portal"",""source_url"":"""",""title_raw"":""EU updates explanatory note for coffee import compliance"",""summary_raw"":""Clarification note updates language for importer declarations."",""body_excerpt"":""EU regulation excerpt."",""language"":""en"",""detected_commodity"":""coffee"",""detected_countries"":""[\""EU\""]"",""detected_event_type"":""regulation"",""event_date"":""2026-05-29"",""country_or_region"":""EU"",""country_iso"":""EUU"",""expected_impact_direction"":""neutral"",""expected_impact_area"":""policy"",""impact_score"":""0"",""time_horizon"":""medium_term"",""confidence_score"":"""",""source_reliability_score"":""0.93"",""entities"":""{\""countries\"":[\""EU\""],\""commodities\"":[\""coffee\""],\""organizations\"":[\""European Commission\""]}"",""notes"":""missing source url should be flagged""},""detectedCountries"":[""EU""]}",missing source url should be flagged
2026-05-29,,coffee,Germany,DEU,logistics,Port congestion eases for coffee containers,Lower waiting time in major EU gateway ports may improve shipment scheduling.,bearish,logistics,-1,short_term,0.68,Drewry,https://www.drewry.co.uk,0.76,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""Germany""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-29"",""commodity_group"":""coffee"",""country_or_region"":""Germany"",""country_iso"":""DEU"",""event_type"":""logistics"",""event_title"":""Port congestion eases for coffee containers"",""event_summary"":""Lower waiting time in major EU gateway ports may improve shipment scheduling."",""expected_impact_direction"":""bearish"",""expected_impact_area"":""logistics"",""impact_score"":""-1"",""time_horizon"":""short_term"",""confidence_score"":""0.68"",""source_name"":""Drewry"",""source_url"":""https://www.drewry.co.uk"",""source_reliability_score"":""0.76"",""notes"":""Logistics signal only.""}}",Logistics signal only.
2026-05-29,,coffee,United States,USA,demand_signal,US specialty roasters report stable buying,Roaster comments indicate replacement demand remains steady after recent price volatility.,bullish,demand,1,short_term,0.69,Reuters,https://www.reuters.com/markets/commodities/,0.85,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""United States""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-29"",""commodity_group"":""coffee"",""country_or_region"":""United States"",""country_iso"":""USA"",""event_type"":""demand_signal"",""event_title"":""US specialty roasters report stable buying"",""event_summary"":""Roaster comments indicate replacement demand remains steady after recent price volatility."",""expected_impact_direction"":""bullish"",""expected_impact_area"":""demand"",""impact_score"":""1"",""time_horizon"":""short_term"",""confidence_score"":""0.69"",""source_name"":""Reuters"",""source_url"":""https://www.reuters.com/markets/commodities/"",""source_reliability_score"":""0.85"",""notes"":""Media source; validate with trade flow.""}}",Media source; validate with trade flow.
2026-05-28,,coffee,Italy,ITA,inventory,Roaster inventories reported above seasonal average,Higher inventory cover may reduce urgent nearby buying needs.,bearish,inventory,-1,short_term,0.66,Italian Coffee Association,https://www.comunicaffe.com,0.72,2026-06-02T14:14:22.415Z,,,ok,"{""countries"":[""Italy""],""regions"":[],""commodities"":[""coffee""],""organizations"":[],""markets"":[]}","{""source"":""seed_csv"",""record"":{""event_date"":""2026-05-28"",""commodity_group"":""coffee"",""country_or_region"":""Italy"",""country_iso"":""ITA"",""event_type"":""inventory"",""event_title"":""Roaster inventories reported above seasonal average"",""event_summary"":""Higher inventory cover may reduce urgent nearby buying needs."",""expected_impact_direction"":""bearish"",""expected_impact_area"":""inventory"",""impact_score"":""-1"",""time_horizon"":""short_term"",""confidence_score"":""0.66"",""source_name"":""Italian Coffee Association"",""source_url"":""https://www.comunicaffe.com"",""source_reliability_score"":""0.72"",""notes"":""Association source.""}}",Association source.
