event_date,commodity_group,country_or_region,country_iso,event_type,event_title,event_summary,expected_impact_direction,expected_impact_area,impact_score,time_horizon,confidence_score,source_name,source_url,source_reliability_score,notes
2026-06-01,coffee,Vietnam,VNM,weather,"Rain in Central Highlands slows coffee drying","Heavy rain in parts of Dak Lak and Gia Lai may delay drying and near-term flow of robusta.",bullish,supply,2,short_term,0.82,Vietnam MARD,https://www.mard.gov.vn/en/Pages/default.aspx,0.92,"Cross-check against domestic arrivals."
2026-05-31,coffee,Brazil,BRA,crop_outlook,"Brazil arabica belt dryness risk noted","Dryness in key coffee zones could reduce yield assumptions for the next crop cycle.",bullish,supply,2,medium_term,0.80,USDA FAS,https://www.fas.usda.gov/data,0.93,"Watch follow-up rainfall updates."
2026-05-30,coffee,Indonesia,IDN,harvest,"Indonesia harvest progress improves export readiness","Faster harvest progress may support additional export availability in coming weeks.",bearish,supply,-1,short_term,0.74,Indonesia Trade Ministry,https://www.kemendag.go.id,0.84,"Directional only."
2026-05-30,coffee,EU,EUU,import_policy,"EU due diligence timeline update for coffee importers","Implementation clarification may increase compliance cost and procurement lead time.",neutral,policy,0,medium_term,0.71,European Commission,https://commission.europa.eu,0.93,"Interpret with importer feedback."
2026-05-29,coffee,United States,USA,demand_signal,"US specialty roasters report stable buying","Roaster comments indicate replacement demand remains steady after recent price volatility.",bullish,demand,1,short_term,0.69,Reuters,https://www.reuters.com/markets/commodities/,0.85,"Media source; validate with trade flow."
2026-05-29,coffee,Germany,DEU,logistics,"Port congestion eases for coffee containers","Lower waiting time in major EU gateway ports may improve shipment scheduling.",bearish,logistics,-1,short_term,0.68,Drewry,https://www.drewry.co.uk,0.76,"Logistics signal only."
2026-05-28,coffee,Italy,ITA,inventory,"Roaster inventories reported above seasonal average","Higher inventory cover may reduce urgent nearby buying needs.",bearish,inventory,-1,short_term,0.66,Italian Coffee Association,https://www.comunicaffe.com,0.72,"Association source."
2026-05-27,coffee,Japan,JPN,currency_fx,"Yen weakness raises local coffee import cost","Softer yen can pressure importer margins and affect purchase timing.",bullish,fx,1,short_term,0.70,Bank of Japan,https://www.boj.or.jp/en/,0.9,"FX channel impact is indirect."
2026-05-26,coffee,Vietnam,VNM,export_policy,"Vietnam logistics fee adjustment for export coffee","Revised inland handling fees may change short-term shipment economics.",neutral,trade_flow,0,short_term,0.67,Vietnam Customs,https://www.customs.gov.vn,0.92,"Check detailed circular text."
2026-05-25,coffee,Brazil,BRA,weather,"Cold front risk flagged in southern coffee areas","Potential frost windows increase risk premium in robusta and arabica markets.",bullish,price,3,short_term,0.86,ICO,https://ico.org/resources/public-market-information/,0.88,"Compare with futures volatility."
2026-05-24,coffee,South Korea,KOR,regulation,"Food safety documentation update for green coffee imports","Documentation update is material for paperwork but no clear price direction yet.",neutral,regulation,0,medium_term,0.64,Korea Customs Service,https://www.customs.go.kr,0.9,"Monitor enforcement timing."
2026-05-23,coffee,Vietnam,VNM,trade_flow,"Mixed signals on coffee shipment pacing","Port throughput and trucking reports are mixed without a clear directional signal.",unclear,trade_flow,0,unclear,0.58,VietnamBiz,https://vietnambiz.vn,0.68,"Needs cross-check with customs release."
